"ID","v1003","v1004","v1005","v1006","v1007","v1008","v1009a","v1009b","v1010","v1011","v1012","v1013","v1014","v1015"
3273,"1 ","100","180000","2 ",NA,"0","230000","0","0","-100000.0, 0.0","0","0","70000","65000"
3434,"1 ","100","1680000","2 ","0","0","0","0","0","0.0, 1680000.0","0","0","4000000","300000"
3605,"1 ","100","35000000","1 ","18000000","800000","0","75000","150000","0.0, 1.5975E7","0","0","6000000","5800000"
3639,"1 ","100","600000","2 ",NA,"9600","300000","0","50000","0.0, 240400.0, 480800.0","0","0","1000000","1000000"
3748,"2 ",NA,"48000000","1 ","1000000","500000","3000000","0","0","1.74E8, 4.35E7","0","0","0","0"
3817,"1 ","100","135000","2 ",NA,"4500","0","100000","0","105000.0, 30500.0, 70000.0","100000",NA,"900000","700000"
3923,"1 ","100","1620000","1 ","1200000","150000","0","0","13000","0.0, 257000.0","0","0","2200000","2500000"
4521,"1 ","100","1500000","1 ","10000","0","500000","0","60000","0.0, 930000.0","0","0","1000000","1000000"
4710,"1 ","100, 10000","1380000, 420000","2 ",NA,"7000, 7200","960000","0","48000","-547200.0, 365000.0","8","0","100000","700000"
5105,"1 ","100","0","2 ",NA,"0","3500","0","113000","-116500.0, 0.0","100000","0","400000","200000"
5661,"1 ","100","1348000","2 ",NA,"3600","752000","0","0","0.0, 777200.0","0","0","2000000, 600000","2500000, 500000"
7614,"1 ","100","300000, 3600000","1 ","0, 180000","0, 6000","00, 2860000","0","0, 45000","300000.0, 509000.0","0","0","0, 800000","0, 1000000"
7620,"1 ","100","1800000","2 ",NA,"4000","1600000","0","2000","194000","0","0","500000","0, 600000"
8316,"1 ","100, 109","3800000","1 ","180000","15000","3000000","0","8000","597000","2500","0","1000000","1100000"
8722,"1 ","100","20000","2 ",NA,"2300","0","0","0","17700.0, 35400.0","0","0","120000","100000"
9107,"1 ","100","1800000, 3000000","1 , 2 ","120000","8000","1500000, 2600000","0","0, 4500","172000.0, 387500.0","0","0","2000000","1800000, 3000000"
9288,"1 ","100","1020000, 2120000","1 , 2 ","360000","1200000, 30000","0","0, 810000","0, 200000","180000.0, 360000.0","0","0","250000, 3500000","300000, 3000000"
