"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v662","v663","v664","v666","v667","v668","v668a","v668b","v668c","v668d","v668e","v668f","v668g","v669","v669a","v669b","v669c","v669d","v669e","v669f","v669g","v669h","v669i","v669j","v670","v670a","v670b","v670c","v670d","v670e","v670f","v670g","v670h","v670i","v670j"
1542,6101,60303,"5","5","v2","Y",64,"0, 70000","1200","2 ","2 ","2 ",NA,"1 ","1 ","1 ","1 ","1 ","1 ","1 ",NA,"1 ","1 ","1 ","1 ","1 ","1 ","1 ","1 ","1 ","1 ",NA,"1 ","1 ","1 ","1 ","1 ","1 ","1 ","1 ","1 ","1 "
1602,3211,31101,"7","4","v2","Y",25,"0, 5000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1626,3111,31101,"7","1","v2","Y",25,"10000","15000, 5000","1 ","2 ","2 ",NA,"3 ","3 ","2 ","3 ","3 ","3 ",NA,NA,"2 ",NA,"2 ","2 ","2 ","2 ","3 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","3 "
1935,5101,50403,"3","6","v2","Y",51,"10000","1295","2 ","2 ","2 ",NA,"2 , 3 ","2 ","2 ","2 ","3 ","2 ","2 ",NA,"3 ","3 ","3 ","3 ","2 ","3 ","3 ","2 ","3 ","3 ",NA,"2 ","3 ","3 ","3 ","3 ","3 ","2 ","2 ","2 ","2 "
2221,5201,50403,"3","2","v2","Y",53,"250000, 450000","0","2 ","2 ","1 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2545,7106,70811,"7","5","v2","Y",73,"0, 2950","0, 2950","2 ","2 ","2 ",NA,"2 ","2 ","2 ","3 ","2 ","2 ","1 ",NA,"2 ","1 , 3 ","1 , 2 ","2 ","3 ","3 ","3 ","2 ","2 , 3 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","3 ","2 , 3 ","2 ","1 ","2 "
2599,7106,70811,"7","1","v2","Y",74,"35000","0, 50000","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","3 ","3 ","2 ","2 ","3 ","3 ","3 ","3 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 "
2607,7106,70811,"7","5","v2","Y",74,"34500, 50000","50000, 500001","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ",NA,"2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 ","2 "
2818,6201,60303,"2","3","v3","Y",63,"4000, 5000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2819,6201,60303,"5","2","v3","Y",63,"0, 4000","0","2 ","2 ","2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
