"ID","psu","palika","ward","hhld","version","verified","interviewer_id","v901","v902","v902a","v903","v904","v904a","v904b","v904c","v904d","v905","v906","v907a","v907b"
694,5104,50703,"3","2","v1","Y",55,"1 ",NA,"1","1 ",NA,"2 ","0","3","10","NAWALPARASI","1400000",NA," , 00"
694,5104,50703,"3","2","v1","Y",55,"1 ",NA,"2","1 ",NA,"2 ","0","1","17","NAWALPARASI","3700000",NA," , 0"
695,5204,50703,"3","3","v1","Y",55,"1 ",NA,"1","1 ",NA,"2 ","0","13","0","NAWALPARASI","2600000",NA," , 0"
695,5204,50703,"3","3","v1","Y",55,NA,NA,"2","1 ",NA,"2 ","0","2","10","NAWALPARASI","25000",NA," , 00"
702,5101,50403,"3","1","v1","Y",53,"1 ",NA,"5","1 ",NA,"1 ","20","0","0","GULMI","20000000",NA," , 1 , 10000"
723,5104,50703,"3","4","v1","Y",55,"1 ",NA,"1","3 ",NA,"2 ","1","0","0","NAWALPARASI","7000000",NA," , 2 , 50000"
735,7302,70805,"2","3","v1","Y",73,"1 ",NA,"1","2 ",NA,"2 ","0","14","15","KAILALI","3000000",NA,"2 , 800 KG"
736,7402,70805,"2","1","v1","Y",73,"1 ",NA,"1","1 ",NA,"2 ","0","5","0","KAILALI","1000000",NA," , 1 , 70000"
752,5101,50403,"3","1","v1","Y",54,"1 ",NA,"1","1 ",NA,"1 ","15",NA,NA,"GULMI","4800000",NA," , 0"
768,5104,50703,"3","7","v1","Y",58,"1 ",NA,"1","4 ",NA,"2 ","0","10","0","NAWALPARASI","8000000",NA," , 2 , 6000"
840,4104,40605,"6","1","v2","Y",41,"1 ",NA,"1","1 ",NA,"1 ","2","0","0","LAMJUNG","100000",NA," , 0000, 1 "
840,4104,40605,"6","1","v2","Y",41,"1 ",NA,"2","1 ",NA,"1 ","1","0","0","LAMJUNG","100000",NA,"1 , OOOO"
841,4104,40605,"6","2","v2","Y",41,"1 ",NA,"1","1 ",NA,"1 ","2","0","0","LAMJUNG","500000",NA," , 0, 1 "
842,4104,40605,"6","4","v2","Y",41,"1 ",NA,"1","1 ",NA,"1 ","2","0","0","LAMJUNG","200000",NA," , 0, 1 "
855,4104,40605,"6","1","v2","Y",42,"1 ",NA,"1","1 ",NA,"1 ","2","0","0","LAMJUNG","200000",NA," , 0, 1 "
855,4104,40605,"6","1","v2","Y",42,"1 ",NA,"2","1 ",NA,"1 ","1","0","0","LAMJUNG","100000",NA," , 0, 1 "
856,4104,40605,"6","2","v2","Y",42,"1 ",NA,"1","1 ",NA,"1 ","1","0","0","LAMJUNG","400000",NA,"1 , NA"
856,4104,40605,"6","2","v2","Y",42,"1 ",NA,"2","1 ",NA,"1 ","1","0","0","LAMJUNG","400000",NA,"1 , NA"
857,4104,40605,"6","3","v2","Y",42,"1 ",NA,"1","1 ",NA,"1 ","0","0","0","LAMJUNG","200000",NA," , 0, 1 "
857,4104,40605,"6","3","v2","Y",42,"1 ",NA,"2","1 ",NA,"1 ","1","0","0","LAMJUNG","500000",NA," , 0"
857,4104,40605,"6","3","v2","Y",42,"1 ",NA,"3","8 ",NA,"1 ","2","0",NA,"LAMJUNG","200000",NA," , 1 , 70000"
861,4104,40605,"6","1","v2","Y",43,"1 ",NA,"1","1 ",NA,"1 ","4",NA,NA,"LAMJUNG","1600000",NA," , 2 , 48000"
862,4104,40605,"6","2","v2","Y",43,"1 ",NA,"1","6 ",NA,"1 ","1",NA,NA,"LAMJUNG","1000000",NA," , 2 , 8000"
862,4104,40605,"6","2","v2","Y",43,"1 ",NA,"2","6 ",NA,"1 ","2",NA,NA,"LAMJUNG","1500000",NA," , 2 , 8000"
862,4104,40605,"6","2","v2","Y",43,"1 ",NA,"3","6 ",NA,"1 ","2",NA,NA,"LAMJUNG","250000",NA," , 2 , 8000"
862,4104,40605,"6","2","v2","Y",43,NA,NA,"4","6 ",NA,"1 ","2",NA,NA,NA,"200000",NA," , 2 , 8000"
862,4104,40605,"6","2","v2","Y",43,"1 ",NA,"5","6 ",NA,"1 ","1",NA,NA,"LAMJUNG","200000",NA," , 2 , 8000"
864,4104,40605,"6","3","v2","Y",43,"1 ",NA,"1","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","20000",NA," , 12000, 2 "
864,4104,40605,"6","3","v2","Y",43,"1 ",NA,"2","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","100000",NA," , 12000, 2 "
864,4104,40605,"6","3","v2","Y",43,"1 ",NA,"3","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","20000",NA," , 12000, 2 "
864,4104,40605,"6","3","v2","Y",43,"1 ",NA,"4","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","20000",NA," , 12000, 2 "
864,4104,40605,"6","3","v2","Y",43,"1 ",NA,"5","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","200000",NA," , 12000, 2 "
867,1109,11214,"18","1","v2","Y",21,"1 ",NA,NA,"4 ",NA,"2 ","0","17","10","MORANG","600000",NA,"15 MAN, 2 "
867,1109,11214,"18","1","v2","Y",21,"1 ",NA,"1","4 ",NA,"2 ","0","11","10","MORANG","2500000",NA," , 2 , 20000"
876,4104,40605,"6","2","v2","Y",44,"1 ",NA,"1","1 ",NA,"1 ","2",NA,NA,"LAMJUNG","200000",NA," , 0"
876,4104,40605,"6","2","v2","Y",44,"1 ",NA,"2","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","100000",NA," , 0"
876,4104,40605,"6","2","v2","Y",44,"1 ",NA,"3","1 ",NA,"1 ","2",NA,NA,NA,"200000",NA," , 0"
876,4104,40605,"6","2","v2","Y",44,"1 ",NA,"4","1 ",NA,"1 ","2",NA,NA,"LAMJUNG","200000",NA," , 0"
876,4104,40605,"6","2","v2","Y",44,"1 ",NA,"5","1 ",NA,"1 ","1",NA,NA,"LAMJUNG","100000",NA," , 0"
876,4104,40605,"6","2","v2","Y",44,"1 ",NA,"7","5 ",NA,"1 ",NA,NA,NA,"LAMJUNG",NA,NA," , 300000"
877,4204,40605,"6","3","v2","Y",44,"1 ",NA,"1","1 ",NA,"1 ","4",NA,NA,"LAMJUNG","500000",NA," , 0"
