"","ID","palika","ward","hhld","version","verified","v101","v104a","v601"
"1",3163,20613,"5","1","v4","Y",1,NA,NA
"2",3163,20613,"5","1","v4","Y",2,NA,NA
"3",3163,20613,"5","1","v4","Y",3,NA,NA
"4",3163,20613,"5","1","v4","Y",4,NA,NA
"5",3163,20613,"5","1","v4","Y",7,NA,NA
"6",3163,20613,"5","1","v4","Y",11,NA,NA
"7",3246,40602,"4","3","v4","Y",1,NA,NA
"8",3253,20613,"5","1","v4","Y",7,NA,NA
"9",3276,70813,"4","1","v5","Y",2,NA,NA
"10",3276,70813,"4","1","v5","Y",3,NA,NA
"11",3307,50601,"7","2","v5","Y",1,NA,NA
"12",3321,50403,"3","2","v5","Y",1,NA,NA
"13",3418,40602,"4","4","v5","Y",1,NA,NA
"14",3418,40602,"4","4","v5","Y",2,NA,NA
"15",3439,11307,"8","3","v5","Y",1,NA,NA
"16",3462,11307,"8","4","v5","Y",2,NA,NA
"17",3462,11307,"8","4","v5","Y",3,NA,NA
"18",3589,11214,"7","2","v5","Y",1,NA,NA
"19",3589,11214,"7","2","v5","Y",2,NA,NA
"20",3589,11214,"7","2","v5","Y",3,NA,NA
"21",3598,30704,"4","2","v5","Y",1,NA,NA
"22",3598,30704,"4","2","v5","Y",2,NA,NA
"23",3598,30704,"4","2","v5","Y",3,NA,NA
"24",3656,30703,"32","1","v5","Y",2,NA,NA
"25",3687,20614,"1","3","v5","Y",1,NA,NA
"26",3687,20614,"1","3","v5","Y",3,NA,NA
"27",3687,20614,"1","3","v5","Y",4,NA,NA
"28",3687,20614,"1","3","v5","Y",5,NA,NA
"29",3687,20614,"1","3","v5","Y",6,NA,NA
"30",3687,20614,"1","3","v5","Y",7,NA,NA
"31",3696,31303,"7","3","v5","Y",1,NA,NA
"32",3696,31303,"7","3","v5","Y",2,NA,NA
"33",3696,31303,"7","3","v5","Y",3,NA,NA
"34",3733,20614,"1","4","v5","Y",1,NA,NA
"35",3733,20614,"1","4","v5","Y",2,NA,NA
"36",3733,20614,"1","4","v5","Y",4,NA,NA
"37",3733,20614,"1","4","v5","Y",8,NA,NA
"38",3791,11214,"7","3","v5","Y",1,NA,NA
"39",3791,11214,"7","3","v5","Y",2,NA,NA
"40",3791,11214,"7","3","v5","Y",5,NA,NA
"41",3840,11307,"8","2","v5","Y",3,NA,NA
"42",3840,11307,"8","2","v5","Y",4,NA,NA
"43",3922,70813,"4","1","v5","Y",1,NA,NA
"44",3922,70813,"4","1","v5","Y",2,NA,NA
"45",3922,70813,"4","1","v5","Y",5,NA,NA
"46",3928,31303,"7","2","v5","Y",3,NA,NA
"47",4152,11211,"9","3","v5","Y",1,NA,NA
"48",4461,60404,"2","2","v5","N",2,NA,NA
"49",4461,60404,"2","2","v5","N",3,NA,NA
"50",4461,60404,"2","2","v5","N",4,NA,NA
"51",4537,60404,"2","3","v5","N",1,NA,NA
"52",4537,60404,"2","3","v5","N",2,NA,NA
"53",4709,40602,"4","2","v5","N",2,NA,NA
"54",5051,20613,"4","2","v5","N",1,NA,NA
"55",5051,20613,"4","2","v5","N",5,NA,NA
"56",5051,20613,"4","2","v5","N",6,NA,NA
"57",5058,20614,"1","4","v5","N",5,NA,NA
"58",5058,20614,"1","4","v5","N",6,NA,NA
"59",5058,20614,"1","4","v5","N",7,NA,NA
"60",5061,20614,"1","3","v5","Y",1,NA,NA
"61",5061,20614,"1","3","v5","Y",3,NA,NA
