"","ID","palika","ward","hhld","version","verified","v101","v104a","v601"
"1",702,50403,"3","1","v1","Y",4,0,NA
"2",735,70805,"2","3","v1","Y",5,3,NA
"3",735,70805,"2","3","v1","Y",6,3,NA
"4",750,50403,"3","3","v1","Y",4,4,NA
"5",752,50403,"3","1","v1","Y",13,0,NA
"6",768,50703,"3","7","v1","Y",7,2,NA
"7",856,40605,"6","2","v2","Y",6,5,NA
"8",856,40605,"6","2","v2","Y",7,4,NA
"9",867,11214,"18","1","v2","Y",5,5,NA
"10",867,11214,"18","1","v2","Y",6,0,NA
"11",909,30608,"19","5","v2","Y",4,1,NA
"12",909,30608,"19","5","v2","Y",8,1,NA
"13",914,30608,"19","4","v2","Y",5,3,NA
"14",993,50703,"3","6","v2","Y",5,0,NA
"15",1001,50703,"3","5","v2","Y",5,0,NA
"16",1013,50703,"3","1","v2","Y",5,5,NA
"17",1031,31101,"7","2","v2","Y",6,4,NA
"18",1031,31101,"7","2","v2","Y",7,2,NA
"19",1037,31101,"7","3","v2","Y",5,2,NA
"20",1045,31101,"7","5","v2","Y",5,5,NA
"21",1045,31101,"7","5","v2","Y",6,1,NA
"22",1134,30102,"8","5","v2","Y",3,5,NA
"23",1302,31101,"7","4","v2","Y",5,5,NA
"24",1311,31101,"7","5","v2","Y",4,4,NA
"25",1524,60303,"5","1","v2","Y",4,1,NA
"26",1529,60303,"5","2","v2","Y",4,5,NA
"27",1537,60303,"2","2","v2","Y",4,2,NA
"28",1596,50703,"3","1","v2","Y",5,3,NA
"29",1657,31101,"7","4","v2","Y",4,1,NA
"30",1659,31101,"7","3","v2","Y",6,2,NA
"31",1682,60303,"5","1","v2","Y",6,3,NA
"32",1787,50403,"3","1","v2","Y",5,0,NA
"33",1791,50403,"3","4","v2","Y",6,0,NA
"34",1866,31101,"7","6","v2","Y",4,3,NA
"35",1868,31101,"7","7","v2","Y",5,5,NA
"36",1945,30608,"19","3","v2","Y",6,3,NA
"37",1965,30608,"19","1","v2","Y",3,1,NA
"38",1966,30608,"19","2","v2","Y",3,4,NA
"39",1966,30608,"19","2","v2","Y",4,0,NA
"40",1998,31101,"7","1","v2","Y",10,1,NA
"41",1999,31101,"7","2","v2","Y",5,0,NA
"42",2037,50703,"3","1","v2","Y",5,3,NA
"43",2076,11306,"5","3","v2","Y",9,1,NA
"44",2131,30608,"19","3","v2","Y",3,0,NA
"45",2134,30608,"19","5","v2","Y",5,4,NA
"46",2135,50703,"3","2","v2","Y",4,3,NA
"47",2162,30102,"8","6","v2","Y",4,3,NA
"48",2163,50703,"3","3","v2","Y",4,4,NA
"49",2164,50703,"3","3","v2","Y",3,4,NA
"50",2166,50703,"3","4","v2","Y",9,4,NA
"51",2167,50703,"3","1","v2","Y",4,0,NA
"52",2255,30608,"19","3","v2","Y",6,2,NA
"53",2277,50403,"3","3","v2","Y",4,0,NA
"54",2401,30102,"8","8","v2","Y",3,3,NA
"55",2415,30102,"8","3","v2","Y",5,2,NA
"56",2420,30102,"8","5","v2","Y",3,4,NA
"57",2420,30102,"8","5","v2","Y",4,1,NA
"58",2427,30102,"8","13","v2","Y",6,2,NA
"59",2449,30102,"8","2","v2","Y",4,5,NA
"60",2451,30102,"8","18","v2","Y",5,0,NA
"61",2455,30102,"8","17","v2","Y",3,5,NA
"62",2459,30102,"8","10","v2","Y",4,0,NA
"63",2468,30102,"8","20","v2","Y",3,2,NA
"64",2468,30102,"8","20","v2","Y",4,0,NA
"65",2481,20613,"5","7","v2","Y",7,2,NA
"66",2513,31101,"7","1","v2","Y",5,0,NA
"67",2531,30604,"11","7","v2","Y",6,4,NA
"68",2553,70811,"7","9","v2","Y",5,2,NA
"69",2577,70811,"7","1","v2","Y",3,0,NA
"70",2585,70811,"7","9","v2","Y",5,1,NA
"71",2589,70811,"7","7","v2","Y",7,1,NA
"72",2593,70811,"7","3","v2","Y",4,3,NA
"73",2599,70811,"7","1","v2","Y",7,5,NA
"74",2614,70811,"7","3","v2","Y",6,0,NA
"75",2616,70811,"7","4","v2","Y",5,2,NA
"76",2620,70811,"7","6","v2","Y",5,0,NA
"77",2632,11214,"18","3","v2","Y",3,2,NA
"78",2632,11214,"18","3","v2","Y",4,1,NA
"79",2632,11214,"18","3","v2","Y",7,2,NA
"80",2659,40808,"1","2","v3","Y",5,3,NA
"81",2752,70813,"4","8","v3","Y",4,3,NA
"82",2782,30608,"19","8","v3","Y",5,2,NA
"83",2815,60303,"5","4","v3","Y",6,5,NA
"84",2829,11306,"5","2","v3","Y",4,3,NA
"85",2843,11306,"9","10","v3","Y",4,1,NA
"86",2897,70813,"4","9","v3","Y",4,2,NA
"87",3000,11214,"18","1","v3","Y",4,5,NA
"88",3006,40602,"4","5","v3","Y",5,5,NA
"89",3011,11214,"18","4","v3","Y",6,5,NA
"90",3060,40602,"4","8","v3","Y",6,0,NA
"91",3078,50601,"7","6","v3","N",5,0,NA
"92",3085,11211,"9","13","v3","N",5,0,NA
"93",3109,60303,"5","3","v4","Y",6,5,NA
"94",3117,60303,"2","2","v4","Y",4,3,NA
"95",3120,60303,"5","5","v4","Y",4,4,NA
"96",3123,60303,"2","7","v4","Y",5,5,NA
"97",3147,30604,"11","16","v4","N",7,2,NA
"98",3163,20613,"5","1","v4","N",9,5,NA
"99",3163,20613,"5","1","v4","N",10,3,NA
"100",3163,20613,"5","1","v4","N",13,5,NA
"101",3163,20613,"5","1","v4","N",14,3,NA
"102",3164,20613,"4","2","v4","N",6,1,NA
"103",3164,20613,"4","2","v4","N",7,1,NA
"104",3185,20613,"5","11","v4","N",6,4,NA
"105",3185,20613,"5","11","v4","N",7,2,NA
"106",3191,20613,"4","12","v4","N",7,3,NA
"107",3191,20613,"4","12","v4","N",8,1,NA
"108",3199,50601,"7","11","v4","N",6,0,NA
"109",3210,20613,"5","13","v4","N",9,5,NA
"110",3210,20613,"5","13","v4","N",10,1,NA
"111",3211,20613,"5","1","v4","N",5,1,NA
"112",3211,20613,"5","1","v4","N",6,1,NA
"113",3213,20613,"5","8","v4","N",6,3,NA
"114",3213,20613,"5","8","v4","N",7,1,NA
"115",3247,20613,"5","15","v4","N",7,4,NA
"116",3267,30604,"11","5","v5","N",4,5,NA
"117",3273,70813,"4","3","v5","N",5,3,NA
"118",3273,70813,"4","3","v5","N",6,0,NA
"119",3278,70813,"4","2","v5","N",4,1,NA
"120",3291,70813,"4","4","v5","N",9,1,NA
"121",3322,60202,"2","9","v5","Y",4,5,NA
"122",3353,50601,"7","12","v5","N",3,0,NA
"123",3373,11211,"9","3","v5","N",5,0,NA
"124",3400,11214,"18","1","v5","N",5,1,NA
"125",3414,11211,"9","4","v5","N",6,0,NA
"126",3464,11214,"7","6","v5","N",7,5,NA
"127",3467,30604,"7","1","v5","N",5,3,NA
"128",3480,20613,"5","8","v5","N",7,3,NA
"129",3480,20613,"5","8","v5","N",8,5,NA
"130",3480,20613,"5","8","v5","N",9,1,NA
"131",3486,20613,"5","11","v5","N",10,4,NA
"132",3490,20613,"4","13","v5","N",10,4,NA
"133",3490,20613,"4","13","v5","N",11,1,NA
"134",3490,20613,"4","13","v5","N",13,1,NA
"135",3490,20613,"4","13","v5","N",14,4,NA
"136",3490,20613,"4","13","v5","N",15,3,NA
"137",3492,20613,"4","14","v5","N",5,2,NA
"138",3502,30102,"8","1","v5","N",4,3,NA
"139",3502,30102,"8","1","v5","N",5,0,NA
"140",3510,11306,"5","1","v5","N",4,3,NA
"141",3549,11214,"7","2","v5","N",5,2,NA
"142",3577,11307,"8","1","v5","N",3,1,NA
"143",3577,11307,"8","1","v5","N",4,1,NA
"144",3581,30703,"3","4","v5","N",3,2,NA
"145",3603,30703,"3","1","v5","N",3,5,NA
"146",3603,30703,"3","1","v5","N",4,1,NA
"147",3605,30703,"3","6","v5","Y",6,1,NA
"148",3621,30703,"2","1","v5","N",3,1,NA
"149",3623,30703,"3","6","v5","N",5,1,NA
"150",3625,30703,"3","2","v5","N",5,3,NA
"151",3633,30703,"4","3","v5","N",4,0,NA
"152",3635,30703,"3","6","v5","N",11,5,NA
"153",3635,30703,"3","6","v5","N",12,2,NA
"154",3637,30703,"3","3","v5","N",7,0,NA
"155",3647,30601,"4","2","v5","N",6,4,NA
"156",3653,30704,"4","1","v5","N",1,NA,NA
"157",3653,30704,"4","1","v5","N",1,NA,NA
"158",3653,30704,"4","1","v5","N",3,NA,NA
"159",3653,30704,"4","1","v5","N",3,NA,NA
"160",3653,30704,"4","1","v5","N",3,NA,NA
"161",3653,30704,"4","1","v5","N",3,NA,NA
"162",3653,30704,"4","1","v5","N",4,NA,NA
"163",3653,30704,"4","1","v5","N",4,NA,NA
"164",3656,30703,"32","1","v5","N",2,5,NA
"165",3656,30703,"32","1","v5","N",2,NA,NA
"166",3656,30703,"32","1","v5","N",2,NA,NA
"167",3656,30703,"32","1","v5","N",2,NA,NA
"168",3657,30604,"7","1","v5","N",3,3,NA
"169",3674,30601,"4","1","v5","N",6,3,NA
"170",3680,11213,"2","1","v5","N",3,0,NA
"171",3682,11213,"2","3","v5","N",4,0,NA
"172",3696,31303,"7","3","v5","Y",5,1,NA
"173",3698,30601,"4","5","v5","N",3,4,NA
"174",3698,30601,"4","5","v5","N",4,3,NA
"175",3707,11213,"2","1","v5","N",3,0,NA
"176",3709,31303,"7","2","v5","N",6,4,NA
"177",3712,11213,"2","3","v5","N",6,4,NA
"178",3731,11213,"2","3","v5","N",5,5,NA
"179",3731,11213,"2","3","v5","N",7,1,NA
"180",3733,20614,"1","4","v5","N",1,5,NA
"181",3733,20614,"1","4","v5","N",1,5,NA
"182",3733,20614,"1","4","v5","N",1,5,NA
"183",3733,20614,"1","4","v5","N",1,5,NA
"184",3733,20614,"1","4","v5","N",1,5,NA
"185",3733,20614,"1","4","v5","N",1,5,NA
"186",3733,20614,"1","4","v5","N",1,5,NA
"187",3733,20614,"1","4","v5","N",1,5,NA
"188",3733,20614,"1","4","v5","N",1,5,NA
"189",3733,20614,"1","4","v5","N",1,5,NA
"190",3733,20614,"1","4","v5","N",1,5,NA
"191",3733,20614,"1","4","v5","N",1,5,NA
"192",3733,20614,"1","4","v5","N",2,5,NA
"193",3733,20614,"1","4","v5","N",2,5,NA
"194",3733,20614,"1","4","v5","N",4,5,NA
"195",3733,20614,"1","4","v5","N",4,5,NA
"196",3733,20614,"1","4","v5","N",6,5,NA
