"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v629","v630","v630a","v631a","v631b","v632","v633","v634","v634a","v635","v635a","v636","v636a","v637","v638","v639a","v639b","v639c","v640","v640a","v641"
"1",839,3207,30608,"19","3","v2","Y",93,1222,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,"6 ",NA,NA,NA,"8 ",NA,"4 , 5 "
"2",889,5101,50403,"3","2","v2","Y",51,1465,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",909,3207,30608,"19","5","v2","Y",94,1570,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 , 2 ",NA,NA,NA,"1 ",NA,"1 , 2 , 3 , 4 , 6 "
"4",914,3107,30608,"19","4","v2","Y",93,1607,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,"8 ",NA,NA
"5",1537,6201,60303,"2","2","v2","Y",62,4481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,96",NA,NA,NA,NA,NA,NA,NA,NA,"7 ",NA,NA
"6",1537,6201,60303,"2","2","v2","Y",62,4482,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,96",NA,NA,NA,NA,NA,NA,NA,NA,"7 ",NA,NA
"7",1540,6101,60303,"5","1","v2","Y",64,4491,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 ",NA,NA,NA,"1 ",NA,"2 , 4 , 6 "
"8",1540,6101,60303,"5","1","v2","Y",64,4492,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 ",NA,NA,NA,"1 ",NA,"2 , 4 , 6 "
"9",1540,6101,60303,"5","1","v2","Y",64,4493,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 ",NA,NA,NA,"1 ",NA,"2 , 4 , 6 "
"10",1652,3111,31101,"7","01","v2","Y",27,5023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96 ",NA,NA,NA,"1 ",NA,"1 , 2 , 3 , 4 "
"11",1878,3107,30608,"19","2","v2","Y",93,6127,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,"96 ",NA,NA,NA,"8 ",NA,NA
"12",2166,5204,50703,"3","4","v2","Y",56,7630,2,NA,"1 ",NA,"2082/2/4","2082/2/7","1 ","2 ",NA,NA,NA,NA,"6 ",NA,"2 ","6 ","0",NA,NA,"4 ",NA,NA
"13",2420,3201,30102,"8","5","v2","Y",53,8747,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 ",NA,NA,NA,"2 ",NA,"1 , 6 "
"14",3002,4204,40605,"6","3","v3","Y",41,11511,2,NA,"7 ",NA,"2082/4/4","2082/4/10","1 ","2 ",NA,NA,NA,NA,"8 ",NA,"3 ","1 ","4",NA,NA,"1 ",NA,"1 , 2 , 4 , 5 , 6 "
"15",3132,5104,50703,"3","3","v4","N",55,12163,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 ",NA,NA,NA,"4 ",NA,"2 "
"16",3163,2207,20613,"5","1","v4","N",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"17",3163,2207,20613,"5","1","v4","N",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"18",3163,2207,20613,"5","1","v4","N",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"19",3163,2207,20613,"5","1","v4","N",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"20",3163,2207,20613,"5","1","v4","N",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"21",3163,2207,20613,"5","1","v4","N",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"22",3163,2207,20613,"5","1","v4","N",26,12321,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"23",3163,2207,20613,"5","1","v4","N",26,12321,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"24",3163,2207,20613,"5","1","v4","N",26,12321,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"25",3163,2207,20613,"5","1","v4","N",26,12322,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"26",3163,2207,20613,"5","1","v4","N",26,12322,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"27",3163,2207,20613,"5","1","v4","N",26,12323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"28",3163,2207,20613,"5","1","v4","N",26,12323,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"29",3163,2207,20613,"5","1","v4","N",26,12324,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"30",3163,2207,20613,"5","1","v4","N",26,12324,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
