"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","v1101","v1102","personid","v1103","v1104a","v1105","v1106","v1107b","v1107a","v1108a","v1109","v1110"
"1",2434,3201,30102,"8","11","v2","Y",53,"1 ","RIN TIRISAKEKO",8835,1,"2081/8/13","11 ",150000,"25",NA,"2082/02/13","1 ","168750"
"2",2434,3201,30102,"8","11","v2","Y",53,"1 ","RIN TIRISAKEKO",8835,1,"2081/8/13","11 ",150000,"25",NA,"2082/02/13","1 ","168750"
"3",2436,3101,30102,"8","5","v2","Y",53,"1 ","TIRISAKEKO RIN",8850,1,"2081/8/11","10 ",1e+05,"25",NA,"2082/4/17","1 ","116670"
"4",2436,3101,30102,"8","5","v2","Y",53,"1 ","TIRISAKEKO RIN",8850,1,"2081/8/11","10 ",1e+05,"3",NA,"2082/4/17","1 ","124000"
"5",3653,3341,30704,"4","1","v5","Y",54,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3653,3341,30704,"4","1","v5","Y",54,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3653,3341,30704,"4","1","v5","Y",54,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4630,5203,50609,"1","10","v5","N",54,"1 ","AGRICULTURE",20194,1,"2081/4/1","5 ",50000,"3",NA,"0","3 ",NA
"9",4630,5203,50609,"1","10","v5","N",54,"2 ","AGRICULTURE",20194,1,"2081/4/1","5 ",50000,"3",NA,"JAILE SAKINCHA","3 ",NA
"10",6263,2109,20703,"2","31","v5","N",27,"1 ","GHAR KO LAGI",28937,3,"2079/4/4","1 ",2e+06,"10",NA,"15 BARSHA MA","2 ","1000000"
"11",6263,2109,20703,"2","31","v5","N",27,"1 ","GHAR KO LAGI",28937,3,"2079/4/4","1 ",2e+06,"10",NA,"15 BARSHA MA","2 ","1000000"
"12",6406,7209,70909,"3","30","v5","N",73,"1 ","PASAL RAKHNA",29765,2,"2080/11/10","4 ",6e+05,"16","16","5","2 ","200000"
"13",6406,7209,70909,"3","30","v5","N",73,"1 ","PASAL RAKHNA",29765,2,"2080/11/10","4 ",6e+05,"16","16","5","2 ","200000"
"14",6629,4108,41003,"4","30","v5","N",43,"1 ","GHAR BANAUNA",30785,1,"2080/1/5","1 ",15200000,"9",NA,"1","2 ","2200000"
"15",6629,4108,41003,"4","30","v5","N",43,"1 ","GHAR BANAUNA",30785,1,"2080/1/5","1 ",15200000,"9",NA,"1","2 ","2200000"
"16",7103,7209,70909,"3","28","v5","Y",73,"1 ","CHHORA CHHORI BAHIRA PADHAUNA",33220,2,"2080/8/10","9 ",7e+05,"15","15","5","2 ","200000"
"17",7103,7209,70909,"3","28","v5","Y",73,"1 ","CHHORA CHHORI BAHIRA PADHAUNA",33220,2,"2080/8/10","2 ",7e+05,"15","15","5","2 ","200000"
