"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v1201","v1202","v1203","v1204","v1205","v1206","v1207","v1208","v1209","v1210","v1211","v1212"
"1",2824,6201,60303,2,5,"v3","Y",61,NA,"1 ",NA,"22","3","2 ","KATHMANDU","4 ","2 ",NA,NA,NA,"114000"
"2",2824,6201,60303,2,5,"v3","Y",61,NA,"1 ",NA,"20","3","2 ","KATHMANDU","4 ","2 ",NA,NA,NA,"132000"
"3",3414,1208,11211,9,4,"v5","Y",22,NA,"1 ",NA,"35","1","3 ","INDIA","1 ","2 ",NA,NA,NA,"0"
"4",3414,1208,11211,9,4,"v5","Y",22,NA,"1 ",NA,"26","1","3 ","KUBET","1 ","2 ",NA,NA,NA,"0"
"5",3429,1208,11211,9,2,"v5","Y",23,NA,"1 ",NA,"27","12","3 ","INDIA","1 ","1 ","0","180000","0","0"
"6",3429,1208,11211,9,2,"v5","Y",23,NA,"1 ",NA,"30","15","3 ","INDIA","1 ","1 ","0","36000","0","0"
"7",3429,1208,11211,9,2,"v5","Y",23,NA,"1 ",NA,"2","0","1 ","INDIA","5 ","2 ",NA,NA,NA,"0"
"8",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",3589,1318,11214,7,2,"v5","Y",11,NA,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",4035,3110,30909,10,17,"v5","N",51,NA,"1 ",NA,"20","3","2 ","AUSTRALIA","1 ","1 ","4","1300000","0","0"
"24",4035,3110,30909,10,17,"v5","N",51,NA,"1 ",NA,"21","21","2 ","AUSTRALIA","4 ","2 ",NA,NA,NA,"0"
"25",4115,7207,70813,19,1,"v5","N",73,NA,"1 ",NA,"44","5","3 ","MALESIYA","1 ","1 ","7","720000","6000","0"
"26",4115,7207,70813,19,1,"v5","N",73,NA,"1 ",NA,"23","1","3 ","MALESIYA","1 ","1 ","6","480000","0","0"
"27",4481,5103,50609,1,11,"v5","N",53,19442,"1 ",6,"17","6","96 , BIBAHA","BUTAWAL","5 ","2 ",NA,NA,NA,"180000"
"28",4481,5103,50609,1,11,"v5","N",53,19442,"1 ",6,"17","3","2 ","PALPA TANSEN","4 ","2 ",NA,NA,NA,"84000"
"29",4759,1111,11306,5,3,"v5","N",13,20848,"1 ",3,"19","0","2 ","DENMARK","1 ","1 ","5","3600000","0","3600000"
"30",4759,1111,11306,5,3,"v5","N",13,20848,"1 ",3,"19","0","2 ","DENMARK","1 ","1 ","5","3600000","0","3600000"
"31",5679,4209,41007,4,16,"v5","N",43,NA,"1 ",NA,"22","5","2 ","POKHARA","4 ","2 ",NA,NA,NA,"250000"
"32",5679,4209,41007,4,16,"v5","N",43,NA,"1 ",NA,"22","2","2 ","KOREA","4 ","2 ",NA,NA,NA,"0"
"33",5679,4209,41007,4,16,"v5","N",43,NA,"1 ",NA,"16","2","2 ","POKHARA","4 ","2 ",NA,NA,NA,"250000"
"34",6048,2107,20613,4,9,"v5","Y",25,NA,"1 ",NA,"33","0","3 ","KATHMANDU","1 ","1 ","10","200000","5000","0"
"35",6048,2107,20613,4,9,"v5","Y",25,NA,"1 ",NA,"9","0","2 ","KATHMANDU","4 ","2 ",NA,NA,NA,"0"
"36",6788,4208,41003,4,9847646761,"v5","N",44,NA,"1 ",NA,"18","4","2 ","POKHARA","4 ","2 ",NA,NA,NA,"240000"
"37",6788,4208,41003,4,9847646761,"v5","N",44,NA,"1 ",NA,"17","2","2 ","POKHARA","4 ","1 ","0","0","0","100000"
"38",7938,3110,30909,10,18,"v5","N",51,NA,"1 ",NA,"21","0","4 ","काभ्रे जिल्लाको बनेपा","1 ","2 ",NA,NA,NA,"0"
"39",7938,3110,30909,10,18,"v5","N",51,NA,"1 ",NA,"23","0","3 ","कुवेत","1 ","1 ","5","250000","0","0"
