"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v629","v630","v630a","v631a","v631b","v632","v633","v634","v634a","v635","v635a","v636","v636a","v637","v638","v639a","v639b","v639c","v640","v640a","v641"
"1",3343,3111,31101,"7","3","v5","Y",28,13352,3,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3343,3111,31101,"7","3","v5","Y",28,13352,3,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3696,3214,31303,"7","3","v5","Y",55,15310,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"4",3696,3214,31303,"7","3","v5","Y",55,15310,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"5",3696,3214,31303,"7","3","v5","Y",55,15310,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"6",3696,3214,31303,"7","3","v5","Y",55,15310,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"7",3696,3214,31303,"7","3","v5","Y",55,15311,2,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"8",3696,3214,31303,"7","3","v5","Y",55,15311,2,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"9",3696,3214,31303,"7","3","v5","Y",55,15311,2,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"10",3696,3214,31303,"7","3","v5","Y",55,15312,3,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"11",3696,3214,31303,"7","3","v5","Y",55,15312,3,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"12",5661,4203,40602,"4","1","v5","N",43,25651,1,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"13",5661,4203,40602,"4","1","v5","N",43,25651,1,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"14",5661,4203,40602,"4","1","v5","N",43,25652,2,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"15",5661,4203,40602,"4","1","v5","N",43,25652,2,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"16",5661,4203,40602,"4","1","v5","N",43,25653,3,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"17",5661,4203,40602,"4","1","v5","N",43,25653,3,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"18",5661,4203,40602,"4","1","v5","N",43,25654,4,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"19",5661,4203,40602,"4","1","v5","N",43,25654,4,"1 ","16 ",NA,NA,NA,"1 ","2 ",NA,NA,NA,NA,"8 ",NA,"2 ","1 ","__:__",NA,NA,"3 ",NA,"2 , 3 "
"20",6182,3108,30802,"27","23","v5","N",56,28539,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"21",6182,3108,30802,"27","23","v5","N",56,28539,1,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
"22",6394,NA,20703,"7","3","v6","N",28,29723,7,"2 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"__:__",NA,NA,NA,NA,NA
