"","ID","psu","palika","ward","hhld","version","verified","interviewer_id","personid","v101","v649","v648","v649a","v649b","v649c","v649d","v649e","v649f","v649g","v649h","v649i","v649j","v649k","v649l","v649m","v649n","v650","v650a"
"1",3163,2207,20613,"5","1","v4","Y",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUPHALAC, AMOXICILLIN,CLARITHROMYCIN TABLET,ESOMEPRAZOLE FAST, ESOMEPRAZOLE,SUCRALFATE","1",NA
"2",3163,2207,20613,"5","1","v4","Y",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"3",3163,2207,20613,"5","1","v4","Y",26,12320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"4",3225,1108,11211,"9","4","v4","Y",23,12707,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81 , 83 ",NA,NA,NA,NA,NA,NA,"4",NA
"5",3225,1108,11211,"9","4","v4","Y",23,12707,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81 , 83 ",NA,NA,NA,NA,NA,NA,"4",NA
"6",3225,1108,11211,"9","4","v4","Y",23,12707,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81 , 83 ",NA,NA,NA,NA,NA,NA,"4",NA
"7",3436,6202,60404,"2","2","v5","Y",63,13895,2,NA,NA,NA,"21 , 23 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"8",3436,6202,60404,"2","2","v5","Y",63,13895,2,NA,NA,NA,"21 , 23 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"9",3474,1108,11211,"9","4","v5","Y",24,14068,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123 , 81 ",NA,NA,"4",NA
"10",3474,1108,11211,"9","4","v5","Y",24,14068,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123 , 81 ",NA,NA,"4",NA
"11",3609,3365,30703,"3","8","v5","Y",52,14801,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96","उपचार को लागि  कतै गएको छैन र केही खाएको छैन"
"12",3609,3365,30703,"3","8","v5","Y",52,14801,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA
"13",3609,3365,30703,"3","8","v5","Y",52,14801,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA
"14",3609,3365,30703,"3","8","v5","Y",52,14802,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA
"15",3609,3365,30703,"3","8","v5","Y",52,14802,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96",NA
