"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"1",651,46500,0,0,0,0,0,0,46500,254800,0,0,0,0,25000,5000,0,254800,0.182496075353218
"2",660,0,-35200,420000,130800,0,0,0,515600,195260,34500,0,0,910,0,0,910,230670,2.23522781462696
"3",662,6e+05,0,0,0,0,0,0,6e+05,273260,0,0,0,0,20000,0,0,273260,2.19571104442655
"4",683,318000,0,0,0,0,0,1000,319000,115440,45000,0,0,0,0,0,0,160440,1.98828222388432
"5",685,293000,0,0,0,0,0,500,293500,216840,187800,0,0,0,0,0,0,404640,0.725336101225781
"6",694,0,-300,1500000,0,0,0,0,1499700,109200,5450,0,600,0,0,0,600,115250,13.0125813449024
"7",695,0,-45000,0,0,0,0,0,-45000,209300,0,0,0,0,6000,0,0,209300,-0.215002388915432
"8",696,0,0,0,36000,0,0,0,36000,228800,0,0,0,0,5000,0,0,228800,0.157342657342657
"9",700,0,-46900,0,96000,0,0,0,49100,336908,0,0,21766,0,13000,0,21766,358674,0.136893111850873
"10",702,904000,-66700,0,0,12200,0,813800,1663300,295100,39300,0,0,0,10000,0,0,334400,4.97398325358852
"11",709,70000,-19600,0,24000,188000,0,0,262400,114920,0,0,5200,0,40000,15000,5200,120120,2.18448218448218
"12",723,0,50000,9e+05,0,0,0,3500,953500,307320,0,0,27000,0,70000,2000,27000,334320,2.85205790859057
"13",733,572000,0,0,0,0,0,0,572000,365300,76700,0,0,300,12000,0,300,442300,1.29323988243274
"14",735,1011400,0,2e+05,0,0,90000,6000,1307400,256360,37700,0,0,0,0,0,0,294060,4.44603142215874
"15",736,261000,76350,0,48000,0,0,35700,421050,277680,0,0,0,0,9000,0,0,277680,1.51631374243734
"16",746,17500,-1050,0,136000,0,0,600,153050,237380,25780,0,5600,0,7000,0,5600,268760,0.569467182616461
"17",748,0,0,0,0,25000,0,1500,26500,225160,50000,0,0,0,0,0,0,275160,0.0963076028492513
"18",752,1900000,695600,-4050000,0,0,0,6000,-1448400,578188,222100,0,1347240,250,1300000,180000,1347490,2147778,-0.674371373577716
"19",762,0,0,0,48000,0,204000,204000,456000,586560,127346,0,50600,0,1e+05,0,50600,764506,0.596463598716034
"20",768,455000,6000,1400000,0,48000,0,3e+05,2209000,461760,114500,0,1200,0,6e+06,0,1200,577460,3.82537318602154
"21",770,0,51100,0,0,0,0,2000,53100,191360,29000,0,0,0,312000,120000,0,220360,0.240969322926121
"22",800,945500,0,0,0,0,0,1e+05,1045500,217360,57600,0,0,0,50000,25000,0,274960,3.80237125400058
"23",829,0,0,0,0,97080,0,0,97080,138320,0,0,7350,0,50000,0,7350,145670,0.666437838951054
"24",839,480000,0,0,0,0,0,331,480331,224120,74600,0,0,600,1000,0,600,299320,1.60474074569023
"25",840,0,85201,60000,0,0,0,0,145201,890552,200,0,0,1500,0,0,1500,892252,0.162735415555247
"26",841,155400,35351,0,0,0,0,0,190751,227344,0,0,2320,0,80000,20000,2320,229664,0.830565521805768
"27",842,44000,8301,0,0,0,0,0,52301,421200,0,0,0,610,0,0,610,421810,0.123991844669401
"28",855,0,6552,480000,38500,0,0,0,525052,185120,0,0,0,0,1000,0,0,185120,2.83627917026793
"29",856,0,-9500,7e+05,96000,0,0,0,786500,273520,0,0,0,0,70000,0,0,273520,2.8754752851711
"30",857,0,56501,0,0,0,0,0,56501,283920,0,0,15000,0,15000,0,15000,298920,0.18901712832865
"31",861,0,28350,47000,48000,0,0,8400,131750,254488,0,0,19960,0,60000,10000,19960,274448,0.480054509415263
"32",862,0,164520,3640000,0,2733000,0,0,6537520,415740,0,4000,40780,0,180000,11000,44780,460520,14.1959524016329
"33",864,0,20200,0,96000,1200,0,0,117400,454220,92000,4500,31500,0,57500,47000,36000,582220,0.201641990999966
"34",867,5543000,12500,0,33000,-18000,0,0,5570500,327080,0,0,8750,0,40000,0,8750,335830,16.5872614120239
"35",876,0,244250,0,0,96000,0,0,340250,346320,0,0,0,600,7e+05,1e+05,600,346920,0.980773665398363
"36",877,0,-20400,0,36000,17500,0,0,33100,229840,0,0,0,0,0,0,0,229840,0.144013226592412
"37",878,0,68000,-1600000,96000,0,0,720000,-716000,602680,0,0,13200,600,5000,0,13800,616480,-1.16143264988321
"38",879,80000,-102400,-50000,0,0,18000,644750,590350,213200,185500,0,29150,0,30000,0,29150,427850,1.37980600677808
"39",889,288000,-498,0,0,0,0,0,287502,236132,34650,9225,9225,0,45000,0,18450,289232,0.994018642473862
"40",890,60000,-100,-1e+05,0,720000,0,6000,685900,320580,31160,0,0,0,24000,0,0,351740,1.95001990106329
"41",894,0,-35000,-750000,48000,-386000,120000,445210,-557790,588120,119000,0,4500,0,50000,0,4500,711620,-0.783831258255811
"42",906,0,0,0,0,0,0,22000,22000,279240,69000,0,0,0,9000,7000,0,348240,0.0631748219618654
"43",907,895000,0,-1200000,0,80000,336000,391500,502500,353600,0,0,15000,0,15000,0,15000,368600,1.36326641345632
"44",909,495000,0,0,24000,33000,0,85000,637000,1072240,0,0,120000,9000,135000,0,129000,1201240,0.530285371782491
"45",911,0,51800,-3500000,0,0,3e+06,345800,-102400,387660,0,0,0,0,170500,14000,0,387660,-0.264148996543363
"46",914,5445000,0,0,0,0,0,3000,5448000,187200,0,0,415500,40,3e+05,20000,415540,602740,9.03872316421674
"47",920,0,0,-2977000,48000,113200,0,0,-2815800,204880,0,0,0,0,5e+05,0,0,204880,-13.743654822335
"48",938,0,0,0,96000,0,0,625000,721000,238940,0,0,7200,2200,0,0,9400,248340,2.90327776435532
"49",993,0,2e+05,0,48000,0,108000,10000,366000,364624,57200,0,182300,0,150000,0,182300,604124,0.605835887996504
"50",1001,2089000,0,0,0,0,0,45000,2134000,852800,0,0,113200,0,1050000,5,113200,966000,2.20910973084886
"51",1003,1254040,0,0,0,0,0,110095,1364135,3484000,0,0,1500,0,50000,35000,1500,3485500,0.391374264811361
"52",1011,0,0,0,0,137000,0,0,137000,244140,47240,0,0,0,3000,0,0,291380,0.470176401949345
"53",1013,363000,-26200,480000,0,0,0,0,816800,244400,49700,0,0,0,10000,0,0,294100,2.77728663719823
