"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"7",695,0,-45000,0,0,0,0,0,-45000,209300,0,0,0,0,6000,0,0,209300,-0.215002388915432
"18",752,1900000,695600,-4050000,0,0,0,6000,-1448400,578188,222100,0,1347240,250,1300000,180000,1347490,2147778,-0.674371373577716
"37",878,0,68000,-1600000,96000,0,0,720000,-716000,602680,0,0,13200,600,5000,0,13800,616480,-1.16143264988321
"41",894,0,-35000,-750000,48000,-386000,120000,445210,-557790,588120,119000,0,4500,0,50000,0,4500,711620,-0.783831258255811
"45",911,0,51800,-3500000,0,0,3e+06,345800,-102400,387660,0,0,0,0,170500,14000,0,387660,-0.264148996543363
"47",920,0,0,-2977000,48000,113200,0,0,-2815800,204880,0,0,0,0,5e+05,0,0,204880,-13.743654822335
"62",1090,0,17000,0,0,-276000,0,144500,-114500,764400,222000,0,0,0,310000,0,0,986400,-0.116078669910787
"80",1542,2280000,97650,-2975000,0,0,0,384005,-213345,369200,0,0,600,0,0,1200,600,369800,-0.576919956733369
"81",1544,20000,18500,-3e+05,48000,0,0,5,-213495,212680,6000,0,4400,0,3000,0,4400,223080,-0.95703335126412
"87",1626,0,-23900,20000,0,0,0,500,-3400,109980,0,0,7500,555,10000,15000,8055,118035,-0.0288050154615157
"91",1653,65000,-58000,-206000,30000,0,0,0,-169000,169000,0,0,0,0,1200,0,0,169000,-1
"93",1659,0,-13500,0,0,0,0,400,-13100,127400,0,0,0,1600,5000,500,1600,129000,-0.101550387596899
"96",1682,24000,-500,-198000,6000,0,0,0,-168500,167856,27300,5200,5700,500,2200,2750,11400,206556,-0.815759406650013
"106",1799,0,-9100,3e+05,0,-5e+05,24000,59900,-125200,359320,100800,0,0,0,20000,0,0,460120,-0.272102929670521
"111",1903,0,-46250,0,0,0,0,36000,-10250,234000,48000,67000,67000,0,61000,0,134000,416000,-0.0246394230769231
"118",1982,0,-1100,0,0,0,0,0,-1100,253240,0,0,70480,500,80000,0,70980,324220,-0.00339275800382456
"128",2034,0,-44650,0,7000,0,0,0,-37650,288600,29000,225000,224000,0,0,0,449000,766600,-0.0491129663448996
"155",2222,0,0,-70000,0,-820000,0,5000,-885000,338000,25500,0,0,0,20000,0,0,363500,-2.43466299862448
"173",2257,2500000,0,-5467000,48000,1800000,0,25000,-1094000,504660,0,75950,161825,0,165775,0,237775,742435,-1.47352966926398
"174",2258,0,0,-2340000,0,1782000,0,50000,-508000,426660,0,0,5800,0,5780,0,5800,432460,-1.17467511446145
"197",2427,837410,-44300,-9e+05,0,9500,0,7000,-90390,692120,0,0,35000,0,40000,0,35000,727120,-0.124312355594675
"239",2555,0,255300,0,0,-1215000,0,5000,-954700,151320,34050,0,0,150,3000,0,150,185520,-5.14607589478223
"263",2618,98700,-3900,-298000,0,0,0,0,-203200,131300,0,0,0,14000,30000,0,14000,145300,-1.39848589125946
"266",2626,0,-15500,0,0,0,0,0,-15500,183040,19600,0,0,11000,25000,0,11000,213640,-0.0725519565624415
"324",2823,1756000,88000,-5500000,0,0,30000,105000,-3521000,1249040,32000,0,25,0,5000,0,25,1281065,-2.74849441675481
"340",2870,130000,0,0,0,-182300,0,0,-52300,512720,295500,0,0,100,5500,0,100,808320,-0.064702098178939
"367",2956,114300,0,-216000,0,0,0,0,-101700,83200,0,0,0,0,1000,0,0,83200,-1.22235576923077
"369",2964,0,-26000,-30000,0,0,0,0,-56000,147160,12600,0,0,0,6300,0,0,159760,-0.350525788683025
"397",3075,0,-900,0,0,0,0,0,-900,75920,0,0,335,0,1395,146,335,76255,-0.0118025047537866
"436",3174,0,-34850,-50000,36000,0,0,100,-48750,178360,0,0,0,0,50000,0,0,178360,-0.27332361516035
"455",3224,0,-133824,20000,0,0,0,0,-113824,185640,0,0,0,0,252000,0,0,185640,-0.613143719026072
"458",3246,0,0,-2650000,48000,820000,0,32000,-1750000,244400,0,0,17325,0,20000,100,17325,261725,-6.68640748877639
"475",3305,50000,0,-7e+05,0,0,0,7000,-643000,301080,93200,0,12036,0,12041,0,12036,406316,-1.5825121334134
"478",3309,0,0,-7e+06,48000,3074000,0,20010,-3857990,549848,0,162600,41800,0,204400,11605,204400,754248,-5.11501522045799
"529",3494,0,-16550,0,0,0,0,0,-16550,286416,0,107000,87100,4900,90000,0,199000,485416,-0.034094467425878
"596",3742,70200,-22050,-2e+05,0,0,0,1100,-150750,178620,0,0,29940,0,24000,0,29940,208560,-0.722813578826237
"599",3752,0,-60598,0,1500,10000,0,200,-48898,379080,1600,0,19500,0,25000,0,19500,400180,-0.122190014493478
"602",3769,0,-1700,0,0,0,0,0,-1700,360100,0,0,7050,0,3e+05,1e+05,7050,367150,-0.00463026011167098
"621",3821,252030,0,-4300000,48000,0,0,355680,-3644290,364000,117000,0,24600,0,20000,11000,24600,505600,-7.20785205696203
"662",3928,0,-19900,-25000,0,0,0,0,-44900,706160,0,0,1500,150,23000,0,1650,707810,-0.0634351026405391
"685",3979,0,-25300,0,0,0,0,0,-25300,189800,0,0,15020,30,20020,20,15050,204850,-0.123505003661216
"693",4018,24450,-201900,39000,48000,0,0,0,-90450,200200,0,0,3004,0,40000,10000,3004,203204,-0.445119190567115
"695",4021,6e+05,16900,-1525000,0,0,0,500,-907600,190840,15000,0,28440,0,30000,0,28440,234280,-3.87399692675431
"708",4076,0,0,60000,8000,-81000,0,0,-13000,140400,0,0,0,1000,50000,0,1000,141400,-0.0919377652050919
"722",4101,21000,18600,-80000,0,0,0,1500,-38900,176800,38500,0,0,7700,15000,0,7700,223000,-0.174439461883408
"726",4108,0,-25608,0,0,0,0,5000,-20608,261040,31000,29200,11600,2500,40000,0,43300,335340,-0.0614540466392318
"795",4318,0,-11650,-2e+05,0,0,0,0,-211650,310232,94000,0,0,0,190,0,0,404232,-0.523585465772131
"799",4336,0,30100,-72000,0,0,0,19000,-22900,159380,61500,0,0,0,500,0,0,220880,-0.103676204273814
"811",4411,59000,-195300,0,0,0,48000,63500,-24800,202800,0,0,11200,5500,0,0,16700,219500,-0.112984054669704
"812",4412,0,-40300,0,0,0,0,0,-40300,310700,2400,0,0,0,3000,0,0,313100,-0.128712871287129
"822",4439,0,234000,-6e+05,0,0,0,0,-366000,110500,0,0,0,0,8000,0,0,110500,-3.31221719457014
"828",4446,0,2000,-1400000,0,774000,0,16000,-608000,297700,184200,0,0,20500,20500,0,20500,502400,-1.21019108280255
"840",4486,0,-6860,-190000,0,0,0,645,-196215,232700,35550,0,0,6275,45000,45000,6275,274525,-0.714743648119479
"893",4584,80500,-12200,-6e+05,0,0,0,3,-531697,192920,0,0,1505,220,2000,15,1725,194645,-2.7316242389992
"896",4590,95200,-83000,-80000,0,0,0,8,-67792,170560,17500,0,0,0,600,0,0,188060,-0.360480697649686
"898",4596,0,85500,-150000,0,0,0,0,-64500,218400,12600,0,0,0,15000,0,0,231000,-0.279220779220779
"901",4603,0,-5000,-173500,0,0,0,2000,-176500,249132,0,0,23033,1300,262500,50000,24333,273465,-0.645420803393487
"992",4779,0,-16100,0,0,0,0,15000,-1100,68120,0,0,6660,0,15000,20000,6660,74780,-0.0147098154586788
"994",4784,0,2000,-3e+05,0,0,0,0,-298000,387920,120000,0,51240,3100,60000,70000,54340,562260,-0.530003912780564
"996",4795,0,-18580,0,0,0,0,3200,-15380,1030640,45800,0,6420,0,9000,0,6420,1082860,-0.0142031287516392
"1023",4852,0,0,-9e+06,0,0,180000,4000,-8816000,259324,212800,0,0,5000,45000,0,5000,477124,-18.4773769502268
"1046",4907,0,-14300,0,0,0,0,0,-14300,475800,68000,0,93406,0,93400,0,93406,637206,-0.0224417221432315
"1081",4960,156000,-36900,-150000,0,0,0,200,-30700,507520,28100,0,28290,0,58000,8500,28290,563910,-0.0544413115568087
"1082",4961,120000,-57100,-80000,0,0,0,13000,-4100,296400,0,23000,123600,950,150000,0,147550,443950,-0.00923527424259489
"1085",4968,0,-12750,0,0,0,0,0,-12750,65520,0,0,0,800,15000,0,800,66320,-0.192249698431846
"1087",4977,3000,-18600,-636000,0,0,0,0,-651600,99944,2000,0,0,0,50000,1e+05,0,101944,-6.39174448716943
"1132",5076,25000,-291,-360000,6000,81000,165600,37002,-45689,484900,0,0,7000,0,4e+05,4e+05,7000,491900,-0.0928826997357186
"1142",5106,0,-18000,0,0,0,0,0,-18000,144508,0,0,2108,0,5000,0,2108,146616,-0.12276968407268
"1222",5287,4e+05,-9100,-2500000,48000,0,0,2900,-2058200,157820,0,0,13400,0,20000,0,13400,171220,-12.0207919635557
