,District,Name.of.Local.Level,llcode,Province,Ward,Employer.Name
1,102,Khandbari,10206,Koshi,9,Uma Khaja Ghar
2,110,Illam,11003,Koshi,9,Image Security Service Pvt. Ltd.
3,110,Illam,11003,Koshi,9,USHA NIRMAN AND SUPPLIERS
4,111,Birtamod,11112,Koshi,5,Sarvasulav Dhuwani sewa
5,111,Mechinagar,11101,Koshi,6,Mechi Netralaya and Ophthalmic Research Center Pvt. Ltd.
6,111,Mechinagar,11101,Koshi,10,N.M.A. agro pvt.ltd.
7,112,Biratnagar,11214,Koshi,11,Kanchan Bahuuddeshiya Company Pvt. Ltd.
8,112,Biratnagar,11214,Koshi,7,Mainawati Steel Industries Ltd. 
9,112,Budhiganga,11213,Koshi,4,HIM PAPER CRAFTS
10,112,Budhiganga,11213,Koshi,3,MAHALAXMI SILICATE INDUSTRIES
11,112,Budhiganga,11213,Koshi,5,Annapurna Global Impex Pvt. Ltd
12,112,Budhiganga,11213,Koshi,2,Vizu Poultry Farm P. Ltd.
13,112,Kerabari,11203,Koshi,10,Kerabari Gaunpalika
14,113,Duhabi,11307,Koshi,8,"Sun Beam English School , Sunsari"
15,113,Duhabi,11307,Koshi,8,Arihant Multi-Fibres Ltd.
16,113,Gadhi,11308,Koshi,3,Sankalpa Community Based Rehabilitation-Nepal
17,113,Itahari,11306,Koshi,9,Malang Baba Saving & Credit co-operative Ltd.
18,113,Itahari,11306,Koshi,8,B. And B. Chartered Business Services Pvt. Ltd. 
19,201,Surunga,20107,Madhesh,6,"Shripurraj Community Development Center (SCDC), Saptari"
20,203,Janakpurdham,20315,Madhesh,4,Vishwanath Trade House Pvt. Ltd.
21,203,Janakpurdham,20315,Madhesh,10,Community Improvement Center
22,204,Jaleshwor,20415,Madhesh,2,Women Empowerment Mission
23,205,Hariwan,20502,Madhesh,6,Namuna Krishi Firm Pvt. Ltd.
24,205,Lalbandi,20501,Madhesh,8,Transform Nepal
25,206,Paroha,20612,Madhesh,3,Campaign Nepal for Research & Development
26,207,Jitpur Simara,20703,Madhesh,4,Frame Work International Pvt. Ltd.
